"method","measure","pp_counts","item_counts","interactions","Estimate","SE","df","t","p"
"motr","gaze_duration","12","24","Gram_x_Synt","0.068794715704979","0.0457012005670025","245.000283661352","1.50531528387573","0.133531152642304"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0271869484642828","0.0457012005670025","245.000283661352","-0.594884776044866","0.552469505957447"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.00455075858172453","0.0432540151463001","244.998370103782","-0.105210084343206","0.916295193897079"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0133796895397885","0.0432540151463001","244.998370103782","0.309328266856469","0.757334739247638"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0546758147194363","0.0485035223766294","236.059276647018","-1.1272545176179","0.260779401774689"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0399629759276297","0.0485035223766294","236.059276647018","0.823919046895555","0.410817220496863"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0236000993657622","0.047013330090734","244.999413022783","-0.501987400599254","0.616127215235392"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0771917396641448","0.047013330090734","244.999413022783","1.64191176236969","0.101891231018879"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0958058214971472","0.0469801278829619","234.194350563076","2.03928396567632","0.0425445399258648"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0983322101347069","0.0469801278829619","234.194350563076","-2.09305965236354","0.0374201846132917"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0317308713155509","0.0471095310536516","235.158148947228","0.673555236188056","0.501255582879462"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0846791409282723","0.0471095310536516","235.158148947228","1.79749488127644","0.0735399693696094"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.029320355356996","0.0498426980280302","234.942931850428","-0.588257789345734","0.556924327420961"
"motr","gaze_duration","12","24","Gram_x_Lex","0.053969533948668","0.0498426980280302","234.942931850428","1.0827972016747","0.280008480899992"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0195310054370194","0.0474864342613903","214.067063248286","0.411296525856426","0.681266583202172"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0302211874672347","0.0474864342613903","214.067063248287","0.636417282899815","0.525184380185331"
"motr","gaze_duration","12","24","Gram_x_Synt","0.127012516554195","0.0448203808783281","207.48670720895","2.8338116291111","0.00505382390496212"
